source_id,trigger_type,enabled,required,path_type,update_cadence,freshness_sla_hours,last_success_at,last_materialized_at,age_hours,freshness_status,next_due_at,consecutive_failures,last_status
sec_13f_nport,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sec_edgar,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sec_officers,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sf133_budget_execution,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
slfrf,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
snap_nap,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ssa,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
tourism_room_tax,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
transit_contracts,file_drop,True,False,manual_export,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
transit_fare_revenue,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usace_civil_works,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usace_permits,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usaspending_loans,schedule,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usaspending_prime,schedule,True,True,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usaspending_subawards,schedule,True,True,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usda_farm_subsidies,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
usda_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
va_benefits,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
wic,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
wioa,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
